Building Type,Main Function,Building Size,EUI2020,EUI Quartile/ Energy Ranking2020,EUI2021 ,EUI Quartile/ Energy Ranking 2021,EUI2022 ,EUI Quartile/ Energy Ranking 2022,TOP/CSC Year,Award (Green/Non-Green),Green Mark Version,GFA,AC Area,AC Area Percentage,No. Of Hotel Room,AC Type,Age  of Chiller,Aircon system efficiency (kW/RT)
Commercial Building,Industrial,Large,3725,N/A,4453,N/A,4580,N/A,2015,Platinum,Existing Data Centres,"35,218","28,536",81%,0,Water Cooled Chilled Water Plant,7,0.744
Commercial Building,Industrial,Large,2044,Bottom Quartile,2214,Bottom Quartile,2305,Bottom Quartile,1999,N/A,N/A,"38,349","20,000",52%,0,Water Cooled Chilled Water Plant,20,0
Commercial Building,Industrial,Large,1157,Bottom Quartile,1182,Bottom Quartile,1151,Bottom Quartile,2014,Platinum,New Building for Non-Residential buildings (version 3),"19,173","19,173",100%,0,Water Cooled Chilled Water Plant,5,0.578
Commercial Building,Office,Large,553,Bottom Quartile,661,Bottom Quartile,805,Bottom Quartile,1986,N/A,N/A,"15,819","12,724",80%,0,Water Cooled Chilled Water Plant,0,0
Commercial Building,Industrial,Large,713,Bottom Quartile,712,Bottom Quartile,724,Bottom Quartile,1995,GoldPlus,Existing Building for Non-Residential buildings (version 3),"30,469","22,476",74%,0,Water Cooled Chilled Water Plant,8,0.582
Commercial Building,Industrial,Large,791,Bottom Quartile,754,Bottom Quartile,695,Bottom Quartile,1995,N/A,N/A,"31,179","21,500",69%,0,Water Cooled Chilled Water Plant,27,0
Commercial Building,Office,Large,642,N/A,649,N/A,659,N/A,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"36,007","25,895",72%,0,District Cooling System (DCS),0,0.05
Commercial Building,Industrial,Large,566,Bottom Quartile,529,Bottom Quartile,568,Bottom Quartile,2011,Certified,Existing Non-Residental Buildings ENRB: 2017,"20,190","16,870",84%,0,Water Cooled Chilled Water Plant,12,0
Commercial Building,Office,Large,496,N/A,522,N/A,523,N/A,2007,Platinum,New Building (version 1),"20,619","13,947",68%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,503,Bottom Quartile,491,Bottom Quartile,494,Bottom Quartile,2014,Gold,GM:2021 In Operation,"41,193","30,413",74%,0,Water Cooled Chilled Water Plant,5,0.578
Commercial Building,Office,Large,521,Bottom Quartile,360,Bottom Quartile,490,Bottom Quartile,2017,N/A,N/A,"1,41,841","1,05,166",74%,0,Water Cooled Chilled Water Plant,2,0.62
Commercial Building,Office,Large,148,2nd Quartile,507,Bottom Quartile,483,Bottom Quartile,1996,Platinum,Existing Building for Non-Residential buildings (version 2.1),"32,148","23,595",73%,0,Water Cooled Chilled Water Plant,9,0.65
Commercial Building,Office,Large,493,N/A,483,N/A,457,N/A,2014,Platinum,New Building for Non-Residential buildings (version 4.1),"40,880","35,333",86%,0,District Cooling System (DCS),0,0
Commercial Building,Industrial,Large,447,Bottom Quartile,459,Bottom Quartile,438,Bottom Quartile,1988,Platinum,Existing Non-Residential Buildings (RECERT 2017),"17,284","15,751",91%,0,Water Cooled Chilled Water Plant,3,0.584
Commercial Building,Industrial,Large,349,Bottom Quartile,398,Bottom Quartile,435,Bottom Quartile,2008,GoldPlus,Existing Building for Non-Residential buildings (version 3),"22,651","21,106",93%,0,Water Cooled Chilled Water Plant,13,0.64
Commercial Building,Office,Large,413,N/A,411,N/A,424,N/A,2006,Gold,GM:2021 In Operation,"12,960","10,000",77%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,385,Bottom Quartile,400,Bottom Quartile,407,Bottom Quartile,1998,Gold,GM:2021 In Operation,"26,417","22,930",87%,0,Others,0,0.76
Commercial Building,Office,Large,378,Bottom Quartile,391,Bottom Quartile,397,Bottom Quartile,1986,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"44,934","41,000",91%,0,Water Cooled Chilled Water Plant,0,0
Commercial Building,Office,Large,318,Bottom Quartile,328,Bottom Quartile,371,Bottom Quartile,1975,Gold,Existing Building for Non-Residential buildings (version 3),"40,939","35,950",88%,0,Water Cooled Chilled Water Plant,10,0.65
Commercial Building,Office,Large,452,Bottom Quartile,423,Bottom Quartile,356,Bottom Quartile,1995,N/A,N/A,"30,809","29,361",95%,180,Water Cooled Chilled Water Plant,17,0
Commercial Building,Office,Large,289,Bottom Quartile,304,Bottom Quartile,327,Bottom Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4.1),"38,868","32,602",84%,0,Water Cooled Chilled Water Plant,8,0.472
Commercial Building,Industrial,Large,271,Bottom Quartile,299,Bottom Quartile,315,Bottom Quartile,1998,Gold,GM:2021 In Operation,"33,322","11,653",35%,0,Others,0,0.2154
Commercial Building,Office,Large,296,N/A,310,N/A,311,N/A,2012,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"31,539","28,385",90%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,378,Bottom Quartile,344,Bottom Quartile,304,Bottom Quartile,2000,Certified,Existing Non-Residental Buildings ENRB: 2017,"18,275","18,074",99%,0,Others,0,0.81
Commercial Building,Industrial,Large,319,Bottom Quartile,305,Bottom Quartile,303,Bottom Quartile,2001,Platinum,Existing Non-Residental Buildings ENRB: 2017,"99,091","77,451",78%,0,Water Cooled Chilled Water Plant,16,0
Commercial Building,Office,Large,302,Bottom Quartile,296,Bottom Quartile,301,Bottom Quartile,1953,N/A,N/A,"15,480","15,480",100%,0,Others,0,0
Commercial Building,Office,Large,297,Bottom Quartile,295,Bottom Quartile,301,Bottom Quartile,2014,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"20,484","18,058",88%,0,Water Cooled Chilled Water Plant,9,0.64
Commercial Building,Office,Large,299,N/A,283,N/A,299,N/A,2008,Platinum,Existing Building for Non-Residential buildings (version 3),"38,774","34,511",89%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,261,Bottom Quartile,301,Bottom Quartile,299,Bottom Quartile,1983,Platinum,Existing Non-Residential Buildings (RECERT 2017),"94,753","94,753",100%,0,Water Cooled Chilled Water Plant,10,0.631
Commercial Building,Office,Large,291,Bottom Quartile,299,Bottom Quartile,299,Bottom Quartile,2014,Platinum,New Building for Non-Residential buildings (version 3),"33,123","26,327",79%,0,Water Cooled Chilled Water Plant,5,0.578
Commercial Building,Office,Large,272,Bottom Quartile,276,Bottom Quartile,294,Bottom Quartile,2011,Gold,Existing Building for Non-Residential buildings (version 2.1),"38,624","38,624",100%,0,Water Cooled Chilled Water Plant,11,0.816
Commercial Building,Industrial,Large,290,Bottom Quartile,298,Bottom Quartile,289,Bottom Quartile,2012,Platinum,New Building for Non-Residential buildings (version 3),"28,800","20,897",73%,0,Water Cooled Chilled Water Plant,11,0
Commercial Building,Industrial,Large,351,Bottom Quartile,307,Bottom Quartile,289,Bottom Quartile,1997,Platinum,New Non-Residential Buildings (NRB: 2015) (R3),"37,000","3,700",10%,0,Water Cooled Chilled Water Plant,2,0
Commercial Building,Industrial,Large,329,Bottom Quartile,316,Bottom Quartile,288,Bottom Quartile,1981,N/A,N/A,"1,04,962","83,076",79%,0,Water Cooled Chilled Water Plant,5,0.72
Commercial Building,Industrial,Large,296,Bottom Quartile,281,Bottom Quartile,288,Bottom Quartile,1997,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"15,550","13,873",89%,0,Water Cooled Chilled Water Plant,2,0.618
Commercial Building,Industrial,Large,283,Bottom Quartile,266,Bottom Quartile,284,Bottom Quartile,1998,GoldPlus,Existing Building for Non-Residential buildings (version 3),"38,209","31,200",82%,0,Water Cooled Chilled Water Plant,5,0.6
Commercial Building,Industrial,Large,264,Bottom Quartile,276,Bottom Quartile,278,Bottom Quartile,2001,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"28,602","28,602",100%,0,Air Cooled Chilled Water Plant,0,0
Commercial Building,Industrial,Large,246,Bottom Quartile,264,Bottom Quartile,267,Bottom Quartile,2013,GoldPlus,New Building for Non-Residential buildings (version 4),"45,637","30,912",68%,0,Water Cooled Chilled Water Plant,7,0.65
Commercial Building,Office,Large,257,N/A,243,N/A,259,N/A,2013,Platinum,Existing Building for Non-Residential buildings (version 3),"22,500","2,800",12%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,242,Bottom Quartile,243,Bottom Quartile,248,Bottom Quartile,1970,Gold,Existing Building for Non-Residential buildings (version 3),"20,999","18,900",90%,0,Water Cooled Chilled Water Plant,13,0.526
Commercial Building,Office,Large,226,Bottom Quartile,237,Bottom Quartile,240,Bottom Quartile,1993,Gold,Existing Building for Non-Residential buildings (version 3),"49,048","26,199",53%,0,Water Cooled Chilled Water Plant,12,0.601
Commercial Building,Office,Large,327,Bottom Quartile,226,Bottom Quartile,235,Bottom Quartile,2016,Platinum,New Building for Non-Residential buildings (version 4),"1,29,726","1,15,000",89%,223,Water Cooled Chilled Water Plant,5,0.645
Commercial Building,Office,Large,240,Bottom Quartile,236,Bottom Quartile,229,Bottom Quartile,1990,GoldPlus,Existing Building for Non-Residential buildings (version 3),"15,159","14,547",96%,0,Water Cooled Chilled Water Plant,9,0.6
Commercial Building,Office,Large,204,3rd Quartile,212,Bottom Quartile,225,Bottom Quartile,1979,Platinum,Existing Non-Residential Buildings (RECERT 2017),"1,10,520","79,182",72%,0,Water Cooled Chilled Water Plant,13,0.647
Commercial Building,Office,Large,203,3rd Quartile,200,3rd Quartile,218,Bottom Quartile,2002,N/A,N/A,"39,145","34,501",88%,0,Water Cooled Chilled Water Plant,21,0
Commercial Building,Office,Large,76,Top Quartile,210,Bottom Quartile,215,Bottom Quartile,2002,N/A,N/A,"53,581","42,866",80%,0,Water Cooled Chilled Water Plant,0,0
Commercial Building,Office,Large,96,Top Quartile,204,Bottom Quartile,214,Bottom Quartile,2019,N/A,N/A,"42,630","36,510",86%,0,Air Cooled Chilled Water Plant,0,0.573
Commercial Building,Office,Large,213,Bottom Quartile,218,Bottom Quartile,212,Bottom Quartile,2014,GoldPlus,New Building for Non-Residential buildings (version 4),"62,328","57,395",92%,0,Water Cooled Chilled Water Plant,8,0
Commercial Building,Office,Large,212,Bottom Quartile,210,Bottom Quartile,212,Bottom Quartile,1999,Platinum,Existing Building for Non-Residential buildings (version 3),"38,324","30,249",79%,0,Water Cooled Chilled Water Plant,7,0.6
Commercial Building,Office,Large,215,Bottom Quartile,208,Bottom Quartile,212,Bottom Quartile,2016,Platinum,New Building for Non-Residential buildings (version 4.1),"1,20,268","42,473",35%,0,Water Cooled Chilled Water Plant,7,0
Commercial Building,Office,Large,207,3rd Quartile,212,Bottom Quartile,211,Bottom Quartile,2002,N/A,N/A,"15,345","13,475",88%,0,Others,0,0
Commercial Building,Office,Large,200,3rd Quartile,208,Bottom Quartile,210,Bottom Quartile,2001,N/A,N/A,"15,423","8,863",57%,0,Water Cooled Chilled Water Plant,22,0
Commercial Building,Office,Large,197,N/A,204,N/A,210,N/A,2008,N/A,N/A,"1,20,383","86,950",72%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,267,Bottom Quartile,236,Bottom Quartile,210,Bottom Quartile,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"75,021","69,037",92%,0,Water Cooled Chilled Water Plant,23,3.617
Commercial Building,Office,Large,217,Bottom Quartile,205,Bottom Quartile,209,Bottom Quartile,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"1,87,345","1,22,472",65%,0,Water Cooled Chilled Water Plant,10,0.65
Commercial Building,Office,Large,211,3rd Quartile,220,Bottom Quartile,209,Bottom Quartile,2005,N/A,N/A,"16,616","9,195",55%,0,Air Cooled Chilled Water Plant,0,1.41
Commercial Building,Office,Large,224,Bottom Quartile,213,Bottom Quartile,208,Bottom Quartile,1980,Platinum,Existing Non-Residental Buildings ENRB: 2017,"47,740","44,136",92%,0,Water Cooled Chilled Water Plant,13,0
Commercial Building,Office,Large,222,Bottom Quartile,216,Bottom Quartile,206,Bottom Quartile,1989,N/A,N/A,"34,560","18,000",52%,0,Water Cooled Chilled Water Plant,3,0
Commercial Building,Office,Large,188,3rd Quartile,201,Bottom Quartile,204,3rd Quartile,2005,Platinum,Existing Building for Non-Residential buildings (version 2.1),"58,783","58,783",100%,0,Water Cooled Chilled Water Plant,18,0.81
Commercial Building,Office,Large,217,Bottom Quartile,214,Bottom Quartile,203,3rd Quartile,2001,Platinum,Existing Building for Non-Residential buildings (version 3),"1,06,793","27,600",26%,0,Water Cooled Chilled Water Plant,3,0.52
Commercial Building,Office,Large,199,3rd Quartile,192,3rd Quartile,203,3rd Quartile,1986,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"79,650","74,816",94%,0,Water Cooled Chilled Water Plant,11,0.69
Commercial Building,Office,Large,204,3rd Quartile,212,Bottom Quartile,199,3rd Quartile,2003,Gold,Existing Non-Residental Buildings ENRB: 2017,"35,533","26,752",75%,0,Water Cooled Chilled Water Plant,2,0.59
Commercial Building,Office,Large,0,N/A,67,Top Quartile,198,3rd Quartile,2021,N/A,N/A,"80,102","67,798",85%,0,Water Cooled Chilled Water Plant,2,0.752
Commercial Building,Office,Large,210,3rd Quartile,198,3rd Quartile,198,3rd Quartile,1983,N/A,N/A,"19,928","14,629",73%,3,Water-Cooled Package Units,0,0.83
Commercial Building,Office,Large,200,3rd Quartile,193,3rd Quartile,196,3rd Quartile,2012,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"71,158","53,000",74%,0,Water Cooled Chilled Water Plant,10,0.632
Commercial Building,Office,Large,184,3rd Quartile,187,3rd Quartile,194,3rd Quartile,1997,GoldPlus,Existing Building for Non-Residential buildings (version 3),"18,110","14,803",82%,0,Water Cooled Chilled Water Plant,6,0
Commercial Building,Office,Large,210,3rd Quartile,196,3rd Quartile,194,3rd Quartile,1992,N/A,N/A,"16,105","16,000",99%,0,Others,0,0
Commercial Building,Office,Large,190,3rd Quartile,198,3rd Quartile,192,3rd Quartile,2002,Certified,Existing Building for Non-Residential buildings (version 3),"15,343","13,475",88%,0,Others,0,0.87
Commercial Building,Office,Large,194,3rd Quartile,186,3rd Quartile,192,3rd Quartile,2006,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"50,310","41,621",83%,0,Water Cooled Chilled Water Plant,18.5,0.9
Commercial Building,Office,Large,164,3rd Quartile,179,3rd Quartile,191,3rd Quartile,1975,GoldPlus,GM:2021 In Operation,"30,477","27,429",90%,0,Water Cooled Chilled Water Plant,0,0.629
Commercial Building,Office,Large,211,3rd Quartile,209,Bottom Quartile,189,3rd Quartile,1988,N/A,N/A,"23,278","22,000",95%,0,Water Cooled Chilled Water Plant,19,0
Commercial Building,Office,Large,183,3rd Quartile,189,3rd Quartile,188,3rd Quartile,2000,Platinum,Existing Non-Residental Buildings ENRB: 2017,"51,479","30,615",59%,0,Water Cooled Chilled Water Plant,2,0.18
Commercial Building,Office,Large,153,N/A,158,N/A,187,N/A,2014,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"46,612","38,820",83%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,183,3rd Quartile,185,3rd Quartile,186,3rd Quartile,1998,Platinum,Existing Non-Residential Buildings Re-Cert (GM:2021 In Operation),"1,02,898","81,652",79%,0,Water Cooled Chilled Water Plant,5,0.61
Commercial Building,Office,Large,177,3rd Quartile,166,3rd Quartile,184,3rd Quartile,2009,Gold,Existing Non-Residential Buildings (RECERT 2017),"24,089","23,530",98%,0,Water Cooled Chilled Water Plant,9,0.602
Commercial Building,Office,Large,197,3rd Quartile,182,3rd Quartile,184,3rd Quartile,1998,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"41,363","28,100",68%,0,Water Cooled Chilled Water Plant,2,0.599
Commercial Building,Office,Large,171,3rd Quartile,181,3rd Quartile,181,3rd Quartile,1997,N/A,N/A,"31,031","25,833",83%,0,Water-Cooled Package Units,0,0
Commercial Building,Office,Large,188,3rd Quartile,182,3rd Quartile,180,3rd Quartile,1999,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"1,62,134","1,53,490",95%,0,Water Cooled Chilled Water Plant,2,0.62
Commercial Building,Office,Large,272,Bottom Quartile,174,3rd Quartile,179,3rd Quartile,1990,N/A,N/A,"1,05,312","70,526",67%,0,Water Cooled Chilled Water Plant,0,0.72
Commercial Building,Office,Large,150,2nd Quartile,162,3rd Quartile,178,3rd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4.0),"22,485","10,537",47%,0,Water Cooled Chilled Water Plant,5,0.6
Commercial Building,Office,Large,173,3rd Quartile,175,3rd Quartile,178,3rd Quartile,1997,GoldPlus,Existing Building for Non-Residential buildings (version 3),"17,839","7,821",44%,0,Water Cooled Chilled Water Plant,16,0.642
Commercial Building,Office,Large,172,3rd Quartile,172,3rd Quartile,177,3rd Quartile,1988,Gold,GM:2021 In Operation,"1,17,541","1,06,000",90%,0,Water Cooled Chilled Water Plant,5,0.623
Commercial Building,Office,Large,174,3rd Quartile,171,3rd Quartile,174,3rd Quartile,1992,Gold,GM:2021 In Operation,"38,596","36,706",95%,0,Water Cooled Chilled Water Plant,3,0.605
Commercial Building,Office,Large,168,3rd Quartile,163,3rd Quartile,173,3rd Quartile,2003,N/A,N/A,"33,846","33,846",100%,0,Others,0,0
Commercial Building,Office,Large,175,3rd Quartile,162,3rd Quartile,173,3rd Quartile,2009,Platinum,Existing Non-Residential Buildings (RECERT 2017),"35,657","32,771",92%,0,Water Cooled Chilled Water Plant,12,0
Commercial Building,Office,Large,267,Bottom Quartile,190,3rd Quartile,173,3rd Quartile,2000,Platinum,Existing Building for Non-Residential buildings (version 3),"30,408","28,950",95%,0,Water Cooled Chilled Water Plant,2,0.55
Commercial Building,Office,Large,185,N/A,179,N/A,172,N/A,2011,Platinum,Existing Building for Non-Residential buildings (version 3),"95,992","85,783",89%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,173,N/A,167,N/A,172,N/A,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"68,130","60,000",88%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,173,3rd Quartile,166,3rd Quartile,171,3rd Quartile,1979,Gold,Existing Non-Residential Buildings (RECERT 2017),"75,079","50,258",67%,0,Water Cooled Chilled Water Plant,12,0.79
Commercial Building,Office,Large,181,3rd Quartile,168,3rd Quartile,170,3rd Quartile,1985,Certified,Existing Building for Non-Residential buildings (version 2.1),"32,150","27,761",86%,0,Water Cooled Chilled Water Plant,10,0.72
Commercial Building,Office,Large,174,3rd Quartile,166,3rd Quartile,170,3rd Quartile,2017,N/A,N/A,"16,839","1,000",6%,0,Others,0,0
Commercial Building,Office,Large,163,3rd Quartile,155,2nd Quartile,168,3rd Quartile,1995,Certified,Existing Non-Residential Buildings (RECERT 2017),"20,143","16,115",80%,0,Water-Cooled Package Units,0,0.65
Commercial Building,Office,Large,161,N/A,151,N/A,167,N/A,2013,Platinum,New Building for Non-Residential buildings (version 3),"99,576","82,727",83%,305,District Cooling System (DCS),0,0
Commercial Building,Office,Large,285,Bottom Quartile,189,3rd Quartile,165,3rd Quartile,2001,Platinum,Existing Building for Non-Residential buildings (version 3),"30,404","28,950",95%,0,Water Cooled Chilled Water Plant,2,0.55
Commercial Building,Office,Large,116,Top Quartile,154,2nd Quartile,165,3rd Quartile,2009,Gold,GM:2021 In Operation,"18,565","14,762",80%,0,Others,0,0
Commercial Building,Office,Large,154,2nd Quartile,154,2nd Quartile,163,3rd Quartile,2018,Platinum,New Building for Non-Residential buildings (version 4.1),"76,208","67,215",88%,0,Water Cooled Chilled Water Plant,4,0.582
Commercial Building,Office,Large,144,2nd Quartile,148,2nd Quartile,162,3rd Quartile,1983,N/A,N/A,"28,835","28,835",100%,0,Water Cooled Chilled Water Plant,19,0
Commercial Building,Office,Large,176,3rd Quartile,160,3rd Quartile,161,3rd Quartile,2005,GoldPlus,Existing Building for Non-Residential buildings (version 3),"27,562","33,840",123%,0,Water Cooled Chilled Water Plant,7,0.624
Commercial Building,Office,Large,151,2nd Quartile,165,3rd Quartile,161,3rd Quartile,1989,N/A,N/A,"17,306","15,000",87%,0,Water Cooled Chilled Water Plant,20,0
Commercial Building,Office,Large,185,3rd Quartile,175,3rd Quartile,161,3rd Quartile,1997,N/A,N/A,"37,923","30,003",79%,0,Others,0,0
Commercial Building,Office,Large,156,2nd Quartile,150,2nd Quartile,160,3rd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4.0),"82,003","65,225",80%,0,Water Cooled Chilled Water Plant,9,0.56
Commercial Building,Office,Large,152,2nd Quartile,153,2nd Quartile,160,3rd Quartile,1976,N/A,N/A,"17,884","10,888",61%,0,Water Cooled Chilled Water Plant,4,0
Commercial Building,Office,Large,160,2nd Quartile,156,3rd Quartile,160,3rd Quartile,1974,Gold,Existing Building for Non-Residential buildings (version 3),"1,16,055","1,10,000",95%,268,Water Cooled Chilled Water Plant,6,0
Commercial Building,Office,Large,151,2nd Quartile,153,2nd Quartile,158,2nd Quartile,1975,GoldPlus,Existing Building (version 2),"71,214","70,000",98%,0,Water Cooled Chilled Water Plant,1,0
Commercial Building,Office,Large,146,2nd Quartile,156,3rd Quartile,158,2nd Quartile,1999,Gold,Existing Non-Residential Buildings (RECERT 2017),"17,815","16,000",90%,0,Others,0,0.75
Commercial Building,Office,Large,173,3rd Quartile,162,3rd Quartile,158,2nd Quartile,1989,N/A,N/A,"38,698","31,000",80%,0,Water Cooled Chilled Water Plant,0,0
Commercial Building,Office,Large,145,2nd Quartile,154,2nd Quartile,157,2nd Quartile,2019,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"24,085","20,000",83%,0,Water Cooled Chilled Water Plant,4,0.53
Commercial Building,Office,Large,0,N/A,0,N/A,157,N/A,2022,GoldPlus,Non-Residential Buildings NRB: 2015,"19,792","15,075",76%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,182,N/A,194,N/A,157,N/A,2011,Gold,New Building for Non-Residential buildings (version 3),"33,458","28,003",84%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,166,3rd Quartile,157,3rd Quartile,156,2nd Quartile,1969,N/A,N/A,"16,450","16,350",99%,0,Water Cooled Chilled Water Plant,53,0
Commercial Building,Office,Large,181,3rd Quartile,176,3rd Quartile,155,2nd Quartile,1992,GoldPlus,Existing Building for Non-Residential buildings (version 3),"1,31,811","1,13,717",86%,0,Water Cooled Chilled Water Plant,6,0.75
Commercial Building,Office,Large,147,2nd Quartile,147,2nd Quartile,154,2nd Quartile,2002,Gold,Existing Building for Non-Residential buildings (version 2.1),"40,061","34,377",86%,0,Water Cooled Chilled Water Plant,9,0.809
Commercial Building,Office,Large,147,2nd Quartile,145,2nd Quartile,154,2nd Quartile,1996,Gold,Existing Non-Residential Buildings (RECERT 2017),"22,518","18,014",80%,0,Water Cooled Chilled Water Plant,12,0.733
Commercial Building,Office,Large,156,2nd Quartile,148,2nd Quartile,154,2nd Quartile,1998,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"27,699","27,699",100%,0,Water Cooled Chilled Water Plant,8,0.68
Commercial Building,Office,Large,177,3rd Quartile,158,3rd Quartile,154,2nd Quartile,2001,Platinum,Existing Non-Residental Buildings ENRB: 2017,"42,127","34,000",81%,0,Water Cooled Chilled Water Plant,2,0
Commercial Building,Office,Large,168,3rd Quartile,164,3rd Quartile,152,2nd Quartile,1997,GoldPlus,Existing Building for Non-Residential buildings (version 2.1),"64,846","51,932",80%,0,Water Cooled Chilled Water Plant,7,0.65
Commercial Building,Office,Large,150,2nd Quartile,151,2nd Quartile,152,2nd Quartile,2017,Platinum,New Building for Non-Residential buildings (version 4),"28,189","26,779",95%,0,Water Cooled Chilled Water Plant,7,0.6
Commercial Building,Office,Large,121,Top Quartile,143,2nd Quartile,152,2nd Quartile,2017,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"64,562","52,918",82%,0,Water Cooled Chilled Water Plant,7,0.568
Commercial Building,Office,Large,47,Top Quartile,125,2nd Quartile,151,2nd Quartile,2020,N/A,N/A,"56,533","52,417",93%,0,Water Cooled Chilled Water Plant,3,0.63
Commercial Building,Office,Large,148,2nd Quartile,142,2nd Quartile,150,2nd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4.0),"68,839","55,585",81%,0,Water Cooled Chilled Water Plant,9,0.62
Commercial Building,Office,Large,149,2nd Quartile,149,2nd Quartile,150,2nd Quartile,2013,Platinum,New Building for Non-Residential buildings (version 3),"1,15,395","1,02,171",89%,0,Water Cooled Chilled Water Plant,10,0.542
Commercial Building,Office,Large,154,2nd Quartile,139,2nd Quartile,147,2nd Quartile,1997,Gold,Existing Building for Non-Residential buildings (version 2.1),"15,400","13,927",90%,0,Water Cooled Chilled Water Plant,25,0
Commercial Building,Office,Large,145,N/A,133,N/A,147,N/A,2011,Platinum,Existing Building for Non-Residential buildings (version 3),"1,45,650","1,23,715",85%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,194,3rd Quartile,172,3rd Quartile,146,2nd Quartile,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"22,946","20,132",88%,0,Water Cooled Chilled Water Plant,14,0.633
Commercial Building,Office,Large,143,2nd Quartile,134,2nd Quartile,145,2nd Quartile,2012,Platinum,Existing Non-Residental Buildings ENRB: 2017,"27,542","16,190",59%,0,Water Cooled Chilled Water Plant,11,0.636
Commercial Building,Office,Large,134,2nd Quartile,143,2nd Quartile,144,2nd Quartile,2016,N/A,N/A,"28,100","19,300",69%,0,Water Cooled Chilled Water Plant,18,0
Commercial Building,Office,Large,165,N/A,141,N/A,144,N/A,2009,Platinum,Existing Building for Non-Residential buildings (version 3),"27,076","22,004",81%,0,District Cooling System (DCS),0,0
Commercial Building,Office,Large,55,Top Quartile,115,Top Quartile,143,2nd Quartile,2020,Platinum,Non-Residential Buildings NRB: 2015,"37,387","37,387",100%,0,Water Cooled Chilled Water Plant,4,0.604
Commercial Building,Office,Large,142,2nd Quartile,137,2nd Quartile,142,2nd Quartile,2010,Platinum,Existing Building for Non-Residential buildings (version 3),"1,84,167","1,71,504",93%,0,Water Cooled Chilled Water Plant,13,0.61
Commercial Building,Office,Large,138,2nd Quartile,142,2nd Quartile,142,2nd Quartile,1959,Platinum,New Non-Residential Buildings (NRB: 2015) (R3),"22,974","10,038",44%,0,Water Cooled Chilled Water Plant,3,0
Commercial Building,Office,Large,133,2nd Quartile,131,2nd Quartile,141,2nd Quartile,2008,N/A,N/A,"15,847","14,047",89%,0,Others,0,0
Commercial Building,Office,Large,140,2nd Quartile,138,2nd Quartile,141,2nd Quartile,1976,Gold,GM:2021 In Operation,"1,03,899","1,02,370",99%,0,Water Cooled Chilled Water Plant,5,0.63
Commercial Building,Office,Large,135,2nd Quartile,132,2nd Quartile,138,2nd Quartile,2009,Platinum,Existing Building for Non-Residential buildings (version 2.1),"31,298","25,632",82%,0,Water Cooled Chilled Water Plant,14,0
Commercial Building,Office,Large,127,2nd Quartile,128,2nd Quartile,137,2nd Quartile,1984,N/A,N/A,"66,408","55,000",83%,0,Water Cooled Chilled Water Plant,6,0.65
Commercial Building,Office,Large,138,2nd Quartile,130,2nd Quartile,136,2nd Quartile,1998,Platinum,Existing Building for Non-Residential buildings (version 3),"53,825","50,622",94%,0,Water Cooled Chilled Water Plant,7,0.6
Commercial Building,Office,Large,143,2nd Quartile,136,2nd Quartile,135,2nd Quartile,1995,Platinum,Existing Non-Residental Buildings ENRB: 2017,"17,825","10,572",59%,0,Water Cooled Chilled Water Plant,1,0.61
Commercial Building,Office,Large,136,2nd Quartile,134,2nd Quartile,134,2nd Quartile,1979,Platinum,Existing Building for Non-Residential buildings (version 3),"15,840","17,842",113%,0,Water Cooled Chilled Water Plant,11,0.66
