Building_Type,Main_Function,Building_Size,EUI2020,EUI_Quartile__Energy_Ranking2020,EUI2021_,EUI_Quartile__Energy_Ranking_2021,EUI2022_,EUI_Quartile__Energy_Ranking_2022,TOP_CSC_Year,Award__Green_Non_Green_,Green_Mark_Version,GFA,AC_Area,AC_Area_Percentage,No_Of_Hotel_Room,AC_Type,Age__of_Chiller,Aircon_system_efficiency__kW_RT_
Commercial Building,Office,Small,190.25,,0,,0,,1983,,,"4,736",0,0%,0,,5.0,0.0
Commercial Building,Hotel,Large,298.57,,0,,0,,2007,GoldPlus,New Building (version 1),"30,850",0,0%,0,,0.0,0.0
Commercial Building,Hotel,,270.0,3rd Quartile,244,3rd Quartile,225,2nd Quartile,2010,,,"22,606","22,058",98%,308,Water-Cooled Package Units,0.0,0.0
Commercial Building,Office,Large,78.0,Top Quartile,93,Top Quartile,94,Top Quartile,2010,,,"16,153","2,843",18%,0,Others,0.0,0.0
Commercial Building,Office,Small,129.97,,0,,0,,1995,,,"10,943",0,0%,0,,27.0,0.0
Commercial Building,Office,Small,196.61,,0,,0,,2001,,,"11,015",0,0%,0,,18.0,0.0
Commercial Building,Hotel,Large,206.19,,0,,0,,1985,Platinum,Existing Building for Non-Residential buildings (version 3),"31,224",0,0%,0,,3.0,0.0
Commercial Building,Hotel,,215.0,2nd Quartile,222,3rd Quartile,234,3rd Quartile,2017,GoldPlus,New Building for Non-Residential buildings (version 4.1),"6,665","6,666",100%,342,Water Cooled Chilled Water Plant,6.0,0.64
Commercial Building,Office,Small,143.56,,0,,0,,1994,,,"12,586",0,0%,0,,1.0,0.0
Commercial Building,Retail,Large,546.18,,0,,0,,1997,GoldPlus,Existing Building for Non-Residential buildings (version 3),"22,998",0,0%,0,,3.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,160.0,,153,,195,,1956,,,619,264,43%,0,Others,0.0,0.0
Commercial Building,Office,,0.0,,0,,0,,1995,GoldPlus,Existing Non-Residental Buildings ENRB: 2017,"58,854","48,484",82%,0,Water Cooled Chilled Water Plant,9.0,0.61
Commercial Building,Hotel,,269.0,3rd Quartile,249,3rd Quartile,287,Bottom Quartile,1970,Gold,Existing Building for Non-Residential buildings (version 2.1),"67,268","67,169",100%,1080,Water Cooled Chilled Water Plant,15.0,0.0
Commercial Building,Retail,Large,122.0,Top Quartile,130,Top Quartile,129,Top Quartile,1980,Gold,GM:2021 In Operation,"29,182",0,0%,0,Others,0.0,0.0
Commercial Building,Retail,Large,222.0,2nd Quartile,216,2nd Quartile,232,2nd Quartile,1995,Gold,GM:2021 In Operation,"1,42,032","1,38,405",97%,0,Water Cooled Chilled Water Plant,9.0,0.61
Commercial Building,Office,Small,38.7,,0,,0,,1997,,,"4,179",0,0%,0,,6.0,0.0
Commercial Building,Office,Medium,239.0,Bottom Quartile,224,Bottom Quartile,208,2nd Quartile,1998,,,"11,080","11,080",100%,0,Others,0.0,0.0
Healthcare Facility,Specialist Clinic,,0.0,,0,,0,,2014,,,"1,276",970,76%,24,Air Cooled Chilled Water Plant,0.0,0.0
Commercial Building,Hotel,Large,199.28,,0,,0,,2013,Legislated,,"22,540",0,0%,0,,3.0,0.0
Commercial Building,Mixed Development,Large,154.95,,0,,0,,1991,Platinum,Existing Building for Non-Residential buildings (version 3),"16,491",0,0%,0,,3.0,0.0
Commercial Building,Office,Large,451.93,,0,,0,,1995,,,"30,809",0,0%,0,,0.0,0.0
Commercial Building,Retail,Medium,325.0,3rd Quartile,389,3rd Quartile,384,3rd Quartile,2008,,,"4,102","4,012",98%,0,Water Cooled Chilled Water Plant,1.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,56.0,,62,,60,,1994,,,"8,393","2,856",34%,0,Others,0.0,0.0
"Civic, Community & Cultural Institution",Cultural Institution,,118.0,,138,,141,,2001,,,"10,349","9,700",94%,0,Air Cooled Chilled Water Plant,0.0,1.07
Educational Institution,Private School,,56.0,,60,,58,,1900,Platinum,,"25,198","50,000",57%,0,Water Cooled Chilled Water Plant,13.0,0.63
Commercial Building,Office,Small,752.78,,0,,0,,1999,Certified,Existing Non-Residental Buildings ENRB: 2017,"14,695",0,0%,0,,3.0,0.0
Commercial Building,Office,Large,200.0,3rd Quartile,193,3rd Quartile,196,3rd Quartile,2012,GoldPlus,Existing Non-Residential Buildings (RECERT 2017),"71,158","53,000",74%,0,Water Cooled Chilled Water Plant,10.0,0.632
Commercial Building,Office,Large,503.36,,0,,0,,2015,Platinum,New Building for Non-Residential buildings (version 3),"41,193",0,0%,0,,0.0,0.0
Commercial Building,Mixed Development,,133.0,Top Quartile,124,Top Quartile,136,Top Quartile,1984,,,"62,543","60,000",96%,421,Water Cooled Chilled Water Plant,5.0,0.0
Commercial Building,Office,Medium,118.0,2nd Quartile,126,2nd Quartile,109,2nd Quartile,2014,,,"7,854",852,11%,0,Others,0.0,0.0
Healthcare Facility,Community Hospital/ Nursing Home,,0.0,,33,,81,,2021,,,"6,946",556,8%,0,Others,0.0,0.0
Commercial Building,Office,Large,148.0,2nd Quartile,142,2nd Quartile,150,2nd Quartile,2014,Platinum,New Building for Non-Residential buildings (version 4.0),"68,839","55,585",81%,0,Water Cooled Chilled Water Plant,9.0,0.62
Sports & Recreation Centre,Sports Complex,,55.0,,49,,77,,2003,Gold,Existing Non-Residental Buildings ENRB: 2017,"25,900",400,2%,0,Others,0.0,0.0
Commercial Building,Office,Large,181.0,3rd Quartile,176,3rd Quartile,155,2nd Quartile,1992,GoldPlus,Existing Building for Non-Residential buildings (version 3),"1,31,811","1,13,717",86%,0,Water Cooled Chilled Water Plant,6.0,0.75
Commercial Building,Retail,Large,123.41,,0,,0,,1977,,,"47,750",0,0%,0,,5.0,0.0
Commercial Building,Mixed Development,,226.0,3rd Quartile,224,3rd Quartile,217,2nd Quartile,1988,Certified,Existing Building for Non-Residential buildings (version 3),"19,096","19,094",100%,0,Water Cooled Chilled Water Plant,5.0,0.698
Healthcare Facility,Hospital,,316.0,,320,,50,,1961,Certified,Healthcare Facilities (Version 1.0),"39,485","34,863",88%,0,Water Cooled Chilled Water Plant,6.0,0.0
Commercial Building,Mixed Development,,184.0,2nd Quartile,203,2nd Quartile,193,2nd Quartile,1979,Gold,Existing Building for Non-Residential buildings (version 3),"19,569","18,089",92%,0,Water Cooled Chilled Water Plant,4.0,0.58
Commercial Building,Office,Medium,114.0,2nd Quartile,129,2nd Quartile,129,2nd Quartile,1990,,,"9,938","5,454",55%,0,Water Cooled Chilled Water Plant,13.0,0.0
Sports & Recreation Centre,Recreation Club,,105.0,,113,,222,,2001,,,"12,406","5,500",44%,0,Others,0.0,0.0
Commercial Building,Hotel,Large,209.13,,0,,0,,1973,Platinum,Existing Building for Non-Residential buildings (version 3),"37,570",0,0%,0,,0.0,0.0
"Civic, Community & Cultural Institution",Community Institution,,78.0,,72,,70,,1994,,,"6,848","4,782",70%,0,Others,0.0,0.0
Commercial Building,Office,Medium,115.0,2nd Quartile,111,Top Quartile,139,2nd Quartile,2011,,,"5,030","4,024",80%,0,Others,0.0,0.0
"Civic, Community & Cultural Institution",Cultural Institution,,69.0,,78,,89,,2016,Platinum,New Building for Non-Residential buildings (version 4.1),"15,123","9,342",62%,0,District Cooling System (DCS),0.0,0.0
Commercial Building,Hotel,Large,79.56,,0,,0,,1972,GoldPlus,Existing Building for Non-Residential buildings (version 3),"21,466",0,0%,0,,1.0,0.0
Commercial Building,Office,Large,136.0,2nd Quartile,134,2nd Quartile,134,2nd Quartile,1979,Platinum,Existing Building for Non-Residential buildings (version 3),"15,840","17,842",113%,0,Water Cooled Chilled Water Plant,11.0,0.66
Commercial Building,Office,Large,83.45,,0,,0,,2004,,,"19,516",0,0%,0,,5.0,0.0
Commercial Building,Office,Medium,130.0,2nd Quartile,135,2nd Quartile,134,2nd Quartile,1975,,,"10,418","10,418",100%,0,Water Cooled Chilled Water Plant,39.0,0.8
Commercial Building,Office,Large,270.89,,0,,0,,2003,,,"29,964",0,0%,0,,13.0,0.0
Commercial Building,Retail,Medium,49.0,Top Quartile,47,Top Quartile,41,Top Quartile,1996,Certified,Existing Non-Residental Buildings ENRB: 2017,"6,431","6,100",95%,0,Water Cooled Chilled Water Plant,7.0,0.65
